workload,predictor,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate
dijkstra,gshare,0.008811,42891612,1.620947,10483665,70838,0.006756988133443791
dijkstra,default,0.008811,42891612,1.620947,10483665,70838,0.006756988133443791
quicksort,tournament,0.007612,16896977,0.739224,4670151,115700,0.02477435954426313
quicksort,default,0.007615,16896977,0.73893,4730826,129936,0.027465816751662396
dijkstra,local,0.008918,42891612,1.601609,10682239,100582,0.009415816290947994
dijkstra,bimode,0.008735,42891612,1.635228,10402221,57580,0.005535356343611619
dijkstra,tournament,0.008725,42891612,1.637048,10395646,55625,0.005350797824396868
quicksort,bimode,0.007609,16896977,0.73943,4695673,119126,0.02536931340832294
quicksort,gshare,0.007615,16896977,0.73893,4730826,129936,0.027465816751662396
quicksort,local,0.007788,16896977,0.722496,5074229,174816,0.034451736411580954
